x,y,model0,score0,model1,score1,model2,score2
6,7,_model_00006_0_0.244_937984_.zip,0.23,_model_00007_0_0.201_1183744_.zip,0.21,base,-0.44
6,8,_model_00006_0_0.244_937984_.zip,0.14,_model_00008_0_0.226_1388544_.zip,0.06,base,-0.2
6,9,_model_00006_0_0.244_937984_.zip,0.14,_model_00009_0_0.223_1429504_.zip,0.32,base,-0.46
6,10,_model_00006_0_0.244_937984_.zip,0.09,_model_00010_0_0.201_2207744_.zip,0.15,base,-0.24
7,0,_model_00007_0_0.201_1183744_.zip,0.41,base,-0.24,base,-0.17
7,1,_model_00007_0_0.201_1183744_.zip,0.32,_model_00001_0_0.349_36864_.zip,0.09,base,-0.41
7,2,_model_00007_0_0.201_1183744_.zip,0.34,_model_00002_0_0.256_77824_.zip,0.01,base,-0.35
7,3,_model_00007_0_0.201_1183744_.zip,0.41,_model_00003_0_0.256_610304_.zip,-0.03,base,-0.38
7,4,_model_00007_0_0.201_1183744_.zip,0.17,_model_00004_0_0.239_692224_.zip,0.08,base,-0.25
7,5,_model_00007_0_0.201_1183744_.zip,0.0,_model_00005_0_0.289_774144_.zip,0.13,base,-0.13
7,6,_model_00007_0_0.201_1183744_.zip,0.29,_model_00006_0_0.244_937984_.zip,0.0,base,-0.29
7,7,_model_00007_0_0.201_1183744_.zip,-0.05,_model_00007_0_0.201_1183744_.zip,0.19,base,-0.14
7,8,_model_00007_0_0.201_1183744_.zip,0.26,_model_00008_0_0.226_1388544_.zip,0.2,base,-0.46
7,9,_model_00007_0_0.201_1183744_.zip,0.31,_model_00009_0_0.223_1429504_.zip,0.02,base,-0.33
7,10,_model_00007_0_0.201_1183744_.zip,0.19,_model_00010_0_0.201_2207744_.zip,0.19,base,-0.38
8,0,_model_00008_0_0.226_1388544_.zip,0.51,base,-0.23,base,-0.28
8,1,_model_00008_0_0.226_1388544_.zip,0.17,_model_00001_0_0.349_36864_.zip,0.09,base,-0.26
8,2,_model_00008_0_0.226_1388544_.zip,0.15,_model_00002_0_0.256_77824_.zip,-0.08,base,-0.07
8,3,_model_00008_0_0.226_1388544_.zip,0.33,_model_00003_0_0.256_610304_.zip,0.05,base,-0.38
8,4,_model_00008_0_0.226_1388544_.zip,0.16,_model_00004_0_0.239_692224_.zip,0.09,base,-0.25
8,5,_model_00008_0_0.226_1388544_.zip,0.25,_model_00005_0_0.289_774144_.zip,0.04,base,-0.29
8,6,_model_00008_0_0.226_1388544_.zip,0.11,_model_00006_0_0.244_937984_.zip,0.14,base,-0.25
8,7,_model_00008_0_0.226_1388544_.zip,0.35,_model_00007_0_0.201_1183744_.zip,0.19,base,-0.54
8,8,_model_00008_0_0.226_1388544_.zip,-0.02,_model_00008_0_0.226_1388544_.zip,-0.02,base,0.04
8,9,_model_00008_0_0.226_1388544_.zip,0.23,_model_00009_0_0.223_1429504_.zip,0.22,base,-0.45
8,10,_model_00008_0_0.226_1388544_.zip,0.16,_model_00010_0_0.201_2207744_.zip,0.01,base,-0.17
9,0,_model_00009_0_0.223_1429504_.zip,0.41,base,-0.31,base,-0.1
9,1,_model_00009_0_0.223_1429504_.zip,0.36,_model_00001_0_0.349_36864_.zip,-0.01,base,-0.35
9,2,_model_00009_0_0.223_1429504_.zip,0.24,_model_00002_0_0.256_77824_.zip,0.21,base,-0.45
9,3,_model_00009_0_0.223_1429504_.zip,0.3,_model_00003_0_0.256_610304_.zip,0.02,base,-0.32
9,4,_model_00009_0_0.223_1429504_.zip,0.44,_model_00004_0_0.239_692224_.zip,0.02,base,-0.46
9,5,_model_00009_0_0.223_1429504_.zip,0.17,_model_00005_0_0.289_774144_.zip,0.19,base,-0.36
9,6,_model_00009_0_0.223_1429504_.zip,0.21,_model_00006_0_0.244_937984_.zip,0.22,base,-0.43
9,7,_model_00009_0_0.223_1429504_.zip,0.46,_model_00007_0_0.201_1183744_.zip,-0.01,base,-0.45
9,8,_model_00009_0_0.223_1429504_.zip,0.15,_model_00008_0_0.226_1388544_.zip,0.12,base,-0.27
9,9,_model_00009_0_0.223_1429504_.zip,0.26,_model_00009_0_0.223_1429504_.zip,0.01,base,-0.27
9,10,_model_00009_0_0.223_1429504_.zip,0.31,_model_00010_0_0.201_2207744_.zip,0.02,base,-0.33
10,0,_model_00010_0_0.201_2207744_.zip,0.27,base,-0.19,base,-0.08
10,1,_model_00010_0_0.201_2207744_.zip,0.13,_model_00001_0_0.349_36864_.zip,-0.05,base,-0.08
10,2,_model_00010_0_0.201_2207744_.zip,0.14,_model_00002_0_0.256_77824_.zip,0.2,base,-0.34
10,3,_model_00010_0_0.201_2207744_.zip,0.23,_model_00003_0_0.256_610304_.zip,-0.04,base,-0.19
10,4,_model_00010_0_0.201_2207744_.zip,0.32,_model_00004_0_0.239_692224_.zip,0.16,base,-0.48
10,5,_model_00010_0_0.201_2207744_.zip,0.18,_model_00005_0_0.289_774144_.zip,0.06,base,-0.24
10,6,_model_00010_0_0.201_2207744_.zip,0.21,_model_00006_0_0.244_937984_.zip,-0.04,base,-0.17
10,7,_model_00010_0_0.201_2207744_.zip,0.31,_model_00007_0_0.201_1183744_.zip,0.16,base,-0.47
10,8,_model_00010_0_0.201_2207744_.zip,0.0,_model_00008_0_0.226_1388544_.zip,0.32,base,-0.32
10,9,_model_00010_0_0.201_2207744_.zip,0.2,_model_00009_0_0.223_1429504_.zip,0.2,base,-0.4
10,10,_model_00010_0_0.201_2207744_.zip,0.13,_model_00010_0_0.201_2207744_.zip,0.08,base,-0.21
