x,y,model0,score0,model1,score1,model2,score2
11,13,_model_00011_0_0.206_2899968_.zip,-0.06,_model_00013_0_0.276_3063808_.zip,0.06,base,0.0
12,0,_model_00012_0_0.325_2981888_.zip,0.32,base,-0.25,base,-0.07
12,1,_model_00012_0_0.325_2981888_.zip,0.19,_model_00001_0_0.235_77824_.zip,-0.11,base,-0.08
12,2,_model_00012_0_0.325_2981888_.zip,0.39,_model_00002_0_0.258_118784_.zip,-0.05,base,-0.34
12,3,_model_00012_0_0.325_2981888_.zip,-0.1,_model_00003_0_0.21_323584_.zip,-0.04,base,0.14
12,4,_model_00012_0_0.325_2981888_.zip,0.33,_model_00004_0_0.252_446464_.zip,-0.32,base,-0.01
12,5,_model_00012_0_0.325_2981888_.zip,0.07,_model_00005_0_0.242_487424_.zip,-0.03,base,-0.04
12,6,_model_00012_0_0.325_2981888_.zip,-0.11,_model_00006_0_0.205_1957888_.zip,0.1,base,0.01
12,7,_model_00012_0_0.325_2981888_.zip,0.38,_model_00007_0_0.204_2162688_.zip,-0.17,base,-0.21
12,8,_model_00012_0_0.325_2981888_.zip,-0.05,_model_00008_0_0.258_2285568_.zip,-0.08,base,0.13
12,9,_model_00012_0_0.325_2981888_.zip,0.36,_model_00009_0_0.209_2654208_.zip,-0.14,base,-0.22
12,10,_model_00012_0_0.325_2981888_.zip,0.01,_model_00010_0_0.256_2777088_.zip,-0.02,base,0.01
12,11,_model_00012_0_0.325_2981888_.zip,0.29,_model_00011_0_0.206_2899968_.zip,-0.1,base,-0.19
12,12,_model_00012_0_0.325_2981888_.zip,-0.06,_model_00012_0_0.325_2981888_.zip,0.05,base,0.01
12,13,_model_00012_0_0.325_2981888_.zip,0.39,_model_00013_0_0.276_3063808_.zip,-0.05,base,-0.34
13,0,_model_00013_0_0.276_3063808_.zip,0.12,base,0.05,base,-0.17
13,1,_model_00013_0_0.276_3063808_.zip,0.07,_model_00001_0_0.235_77824_.zip,0.1,base,-0.17
13,2,_model_00013_0_0.276_3063808_.zip,0.01,_model_00002_0_0.258_118784_.zip,0.11,base,-0.12
13,3,_model_00013_0_0.276_3063808_.zip,0.14,_model_00003_0_0.21_323584_.zip,0.12,base,-0.26
13,4,_model_00013_0_0.276_3063808_.zip,0.18,_model_00004_0_0.252_446464_.zip,-0.08,base,-0.1
13,5,_model_00013_0_0.276_3063808_.zip,0.11,_model_00005_0_0.242_487424_.zip,0.09,base,-0.2
13,6,_model_00013_0_0.276_3063808_.zip,-0.17,_model_00006_0_0.205_1957888_.zip,0.1,base,0.07
13,7,_model_00013_0_0.276_3063808_.zip,0.0,_model_00007_0_0.204_2162688_.zip,0.02,base,-0.02
13,8,_model_00013_0_0.276_3063808_.zip,-0.08,_model_00008_0_0.258_2285568_.zip,0.24,base,-0.16
13,9,_model_00013_0_0.276_3063808_.zip,-0.16,_model_00009_0_0.209_2654208_.zip,0.08,base,0.08
13,10,_model_00013_0_0.276_3063808_.zip,0.05,_model_00010_0_0.256_2777088_.zip,0.37,base,-0.42
13,11,_model_00013_0_0.276_3063808_.zip,0.21,_model_00011_0_0.206_2899968_.zip,-0.12,base,-0.09
13,12,_model_00013_0_0.276_3063808_.zip,-0.12,_model_00012_0_0.325_2981888_.zip,0.45,base,-0.33
13,13,_model_00013_0_0.276_3063808_.zip,0.05,_model_00013_0_0.276_3063808_.zip,0.05,base,-0.1
