x,y,model0,score0,model1,score1,model2,score2
7,5,_model_00031_0_0.231_4993024_.zip,0.25,_model_00021_0_0.206_3149824_.zip,0.01,base,-0.26
7,6,_model_00031_0_0.231_4993024_.zip,0.38,_model_00026_0_0.202_4173824_.zip,0.13,base,-0.51
7,7,_model_00031_0_0.231_4993024_.zip,0.26,_model_00031_0_0.231_4993024_.zip,0.05,base,-0.31
7,8,_model_00031_0_0.231_4993024_.zip,0.31,_model_00036_0_0.218_5525504_.zip,0.37,base,-0.68
7,9,_model_00031_0_0.231_4993024_.zip,0.3,_model_00041_0_0.239_5976064_.zip,0.22,base,-0.52
7,10,_model_00031_0_0.231_4993024_.zip,0.24,_model_00046_0_0.239_6385664_.zip,-0.03,base,-0.21
7,11,_model_00031_0_0.231_4993024_.zip,0.08,_model_00051_0_0.236_6754304_.zip,0.35,base,-0.43
8,0,_model_00036_0_0.218_5525504_.zip,0.47,base,-0.27,base,-0.2
8,1,_model_00036_0_0.218_5525504_.zip,0.44,_model_00001_0_0.2_36864_.zip,-0.09,base,-0.35
8,2,_model_00036_0_0.218_5525504_.zip,0.18,_model_00006_0_0.24_1060864_.zip,0.18,base,-0.36
8,3,_model_00036_0_0.218_5525504_.zip,0.45,_model_00011_0_0.211_1552384_.zip,0.0,base,-0.45
8,4,_model_00036_0_0.218_5525504_.zip,0.23,_model_00016_0_0.206_2494464_.zip,0.06,base,-0.29
8,5,_model_00036_0_0.218_5525504_.zip,0.43,_model_00021_0_0.206_3149824_.zip,0.18,base,-0.61
8,6,_model_00036_0_0.218_5525504_.zip,0.12,_model_00026_0_0.202_4173824_.zip,0.25,base,-0.37
8,7,_model_00036_0_0.218_5525504_.zip,0.37,_model_00031_0_0.231_4993024_.zip,0.2,base,-0.57
8,8,_model_00036_0_0.218_5525504_.zip,0.24,_model_00036_0_0.218_5525504_.zip,0.2,base,-0.44
8,9,_model_00036_0_0.218_5525504_.zip,0.22,_model_00041_0_0.239_5976064_.zip,0.17,base,-0.39
8,10,_model_00036_0_0.218_5525504_.zip,0.12,_model_00046_0_0.239_6385664_.zip,0.11,base,-0.23
8,11,_model_00036_0_0.218_5525504_.zip,0.1,_model_00051_0_0.236_6754304_.zip,0.29,base,-0.39
9,0,_model_00041_0_0.239_5976064_.zip,0.55,base,-0.21,base,-0.34
9,1,_model_00041_0_0.239_5976064_.zip,0.51,_model_00001_0_0.2_36864_.zip,-0.06,base,-0.45
9,2,_model_00041_0_0.239_5976064_.zip,0.39,_model_00006_0_0.24_1060864_.zip,0.09,base,-0.48
9,3,_model_00041_0_0.239_5976064_.zip,0.3,_model_00011_0_0.211_1552384_.zip,0.2,base,-0.5
9,4,_model_00041_0_0.239_5976064_.zip,0.14,_model_00016_0_0.206_2494464_.zip,0.13,base,-0.27
9,5,_model_00041_0_0.239_5976064_.zip,0.29,_model_00021_0_0.206_3149824_.zip,0.14,base,-0.43
9,6,_model_00041_0_0.239_5976064_.zip,0.34,_model_00026_0_0.202_4173824_.zip,0.08,base,-0.42
9,7,_model_00041_0_0.239_5976064_.zip,0.45,_model_00031_0_0.231_4993024_.zip,-0.09,base,-0.36
9,8,_model_00041_0_0.239_5976064_.zip,0.39,_model_00036_0_0.218_5525504_.zip,0.12,base,-0.51
9,9,_model_00041_0_0.239_5976064_.zip,0.17,_model_00041_0_0.239_5976064_.zip,0.19,base,-0.36
9,10,_model_00041_0_0.239_5976064_.zip,0.12,_model_00046_0_0.239_6385664_.zip,0.2,base,-0.32
9,11,_model_00041_0_0.239_5976064_.zip,0.36,_model_00051_0_0.236_6754304_.zip,0.04,base,-0.4
